0,1,2,3
3359,430,Schwarzchopf,Bergname
3359,431,Wildhuser Schofberg,Bergname
3360,432,Gams-Chopf,Bergname
3360,433,Chli Stockberg,Bergname
3359,434,Moor,Bergname
3359,435,Girespitz,Bergname
3561,442,Corno delle Ruzze,Bergname
3561,443,Corno Campascio,Bergname
3561,444,Bocchetta di Braga,Bergname
3561,445,Passo di Pedruna,Bergname
3561,446,Dent Blanch,Bergname
3561,447,L'Om,Bergname
3561,448,Piz Canfinal,Bergname
3561,449,Pass da l'Om,Bergname
3561,450,Piz di Sassiglion,Bergname
3561,451,Pass da Canfinal,Bergname
3561,452,Passo di Malghera,Bergname
3561,453,Forcola di Sassiglion,Bergname
3792,454,Furcela da Fedoz,Bergname
3792,455,Passo dell'Oro,Bergname
3784,459,Pass dal Zupò,Bergname
3784,463,Fuorcla Crast'Agüzza,Bergname
3561,465,Piz dal Teo,Bergname
3561,470,Bocchetta da Cantonascia,Bergname
3561,471,Motal,Bergname
3784,473,Fuorcla Bellavista,Bergname
3784,474,Piz Palü,Bergname
3561,475,Motta Rossa,Bergname
3784,476,Piz Spinas,Bergname
3561,478,Corn da Prairol,Bergname
3784,482,Piz Bernina,Bergname
3561,483,Munt da San Franzesch,Bergname
3784,487,Fuorcla Pers-Palü,Bergname
3561,489,Forcula dal Cambrena,Bergname
3561,490,Piz Caral,Bergname
3561,492,Piz Cambrena,Bergname
3784,494,Sass dal Pos,Bergname
3561,495,Scima da Saoseo,Bergname
3561,496,Pass da Sach,Bergname
3561,497,Forcula dal Caral,Bergname
3561,499,Sassal Mason,Bergname
3784,501,Fuorcla Prievlusa,Bergname
3561,502,Motascia,Bergname
3784,503,Piz Prievlus,Bergname
3561,505,Piz d'Arlas,Bergname
3561,506,Piz Campasc,Bergname
3784,507,Fuorcla d'Arlas,Bergname
3561,508,Punta dal Dügüral,Bergname
3784,510,Fuorcla Trovat,Bergname
3561,511,I Umet,Bergname
3784,512,Corn Diavolezza,Bergname
3561,513,Pass da Val Viola,Bergname
3561,515,Corn da Camp,Bergname
3784,516,Munt Pers,Bergname
3790,517,Chastelets,Bergname
3561,519,La Pala,Bergname
3561,520,Motta Bianca,Bergname
3561,523,Piz Ursera,Bergname
3561,524,Gess,Bergname
3561,525,Piz Paradisin,Bergname
3561,526,Fuorcla Minor,Bergname
3561,527,Cima Valeta,Bergname
3561,528,Piz Cunfin,Bergname
3784,529,Piz Lagalb,Bergname
3561,531,Colle Val Nera,Bergname
3790,534,Munt Arlas,Bergname
3784,535,Fuorcla da Mandra,Bergname
3561,537,Forcola di Livigno,Bergname
3561,538,Fuorcla da Livign,Bergname
3784,539,Piz dal Fain,Bergname
3782,540,Piz da Staz,Bergname
3784,541,Fuorcla Pischa,Bergname
3784,542,Fuorcla Tschüffer,Bergname
3784,543,Piz Tschüffer,Bergname
